name,null_count,min,max,mean,std,most_freq_val
longitude,0,24.204,52.0,40.504616,9.889213,49.2204
latitude,0,-692.449,3.9,-66.61572,122.72506,-19.311615
hs,0,0.001,9.496426,1.5677335,1.6936039,0.31751415
tp,0,0.001,15.872376,4.9108276,4.5277343,0.5300459
mwd,0,-1000.0,204.00099,-313.8315,540.7336,-959.86664
u10,0,-20.572824,60.030518,0.9565246,7.596045,-1.765378
v10,0,-36.6833,33.52612,0.23688197,6.94304,7.7826633
wind_magnitude,0,0.050819088,60.08971,9.022496,5.0466366,6.054708
wind_direction,0,-179.99971,179.9941,-1.9044378,105.51301,-167.99991
course,0,1.4603757,66.78298,22.193813,16.251583,3.6377962
ptot,0,1664.543,15154.373,5440.7993,744.066,4812.17
foc,0,6.9122114,96.32767,21.692183,3.4639955,21.814789
relative_wind_angle,0,0.00024414062,359.99814,183.96661,130.2309,347.9982
power_spin,0,0.007581123,195.4,92.20629,77.17823,6.520661
power_wasp,0,199.38774,14007.701,4907.555,1051.573,5262.4365
foc_wasp,0,0.7910666,82.049034,19.559849,4.3572826,19.751259
flettner_rpm,0,0.37905613,250.0,163.17328,72.545555,108.54813
